947 11327
909 750 16076
104 536 16435
571 63 21042
869 837 27783
394 836 16100
93 132 30717
482 615 32112
98 79 5205
485 250 15174
912 30 24671
330 15 19293
776 409 12600
532 597 29147
717 30 7675
467 822 30969
465 453 19967
889 130 11425
366 906 3587
128 819 26485
649 625 19162
31 293 5947
404 497 20591
616 52 22502
88 765 8762
844 118 19385
293 39 32381
662 556 31790
171 253 12263
16 905 8873
929 72 18793
160 25 2342
789 60 22114
526 571 4701
579 435 32110
417 539 13839
557 411 7804
883 332 10622
169 920 9468
454 480 21818
203 580 11575
145 800 28880
891 4 18490
222 20 29174
774 346 11228
53 494 16455
238 585 1214
250 79 8122
10 332 32348
88 567 21323
54 828 31114
799 283 26259
537 615 25580
546 920 10311
196 403 17226
468 480 30927
443 828 24027
503 173 30583
457 77 1228
922 340 7658
357 238 30902
647 424 19698
49 687 14272
654 470 32440
225 830 21406
729 288 4597
857 261 16816
710 886 16083
797 676 487
58 397 4465
139 674 2369
582 83 3911
612 922 8949
644 2 17368
845 761 1963
573 229 9851
871 383 19539
409 649 28195
78 771 4726
920 468 18786
439 531 8725
314 695 24615
495 747 22902
772 757 20963
177 540 14703
472 291 24088
834 653 21768
907 846 24197
779 257 8596
634 141 350
718 792 8333
45 746 5982
761 213 11988
508 639 7319
881 795 32039
12 143 13373
613 844 25584
576 406 28395
692 154 30899
878 118 12309
770 821 5568
558 833 12951
23 614 29958
391 805 21932
581 641 9480
518 682 21172
529 904 2922
799 62 4485
147 766 27286
479 791 21575
711 245 2139
265 440 13578
602 662 12703
859 491 16014
838 328 31613
544 887 5885
26 136 23643
560 661 3720
557 816 6113
585 797 15648
62 30 3807
677 898 453
705 26 24697
122 168 31522
510 689 31801
660 34 17519
697 12 23768
543 402 13005
33 504 12753
927 379 20121
144 254 21037
593 119 8557
304 940 31999
481 288 31942
251 549 15489
691 364 26243
865 833 18151
298 62 12221
583 172 1072
566 492 12202
226 182 669
278 440 32651
750 852 11173
573 655 13769
654 780 2421
178 12 19928
547 569 29017
288 114 30585
606 234 425
804 482 17261
89 935 8717
383 856 23736
75 801 11057
554 553 1285
932 365 5958
843 66 12239
313 611 11999
836 866 11092
775 516 7689
730 639 6016
149 452 19385
472 866 19029
915 330 16856
717 912 32372
818 707 32410
395 613 5080
709 380 14316
544 765 5091
495 196 11
808 357 24906
61 17 26291
721 811 20868
722 115 13407
400 426 12486
165 177 17804
116 571 12983
169 604 27149
229 338 24924
341 390 4289
795 937 2288
255 866 593
638 76 15008
377 401 3524
577 344 6502
885 440 24581
851 703 2934
325 46 23470
244 222 28668
773 406 14523
781 643 27676
720 228 3060
525 187 4975
336 630 9247
656 525 28536
857 160 32619
79 86 1729
207 131 1420
114 611 20387
750 687 17278
104 163 17381
758 880 11244
509 460 25013
614 573 27565
844 912 7083
946 686 17364
685 798 23761
276 458 9032
345 148 9965
404 480 30687
43 163 16500
503 234 29549
451 576 13561
597 698 23370
826 513 26105
690 26 31039
448 794 25409
834 839 31441
365 938 2416
785 337 2151
202 71 19010
860 836 12232
623 257 21920
163 204 30160
792 17 27570
893 837 4476
368 742 16218
215 92 1693
28 749 19948
47 509 8395
407 198 15360
700 441 16238
629 55 28831
269 927 2561
424 472 8020
788 270 4052
375 718 1717
860 645 6389
602 453 11396
352 426 5649
770 230 8577
515 807 15204
454 342 9846
487 544 30484
154 76 14637
878 624 11661
247 945 27472
329 349 1716
379 72 15970
327 352 11533
454 545 26443
354 814 15403
377 779 8504
384 726 19964
303 589 27320
662 835 11988
73 85 31071
403 555 20039
114 513 12115
875 103 5928
256 360 15246
849 445 848
912 418 6342
725 606 4086
866 738 10284
470 703 15811
730 191 31872
14 391 5090
517 745 24380
876 598 16314
190 360 31927
261 57 29472
109 269 17806
590 520 8468
885 293 17083
823 641 15728
478 508 10019
228 172 15889
813 886 9341
519 113 23644
135 150 17120
324 227 3122
491 406 350
607 676 22960
289 134 11126
363 753 29007
721 791 25148
773 158 3642
663 662 10640
459 70 30969
694 622 10426
112 933 13507
325 195 2878
360 580 1042
326 396 22991
646 543 7501
468 553 3233
321 251 20137
758 443 20369
312 138 31885
627 787 17879
917 919 26650
67 515 24130
849 561 5035
820 408 18985
509 882 31078
477 265 14491
265 412 11320
727 889 25715
319 536 30159
87 406 8023
51 624 9327
586 465 7379
438 433 4536
333 340 10243
595 75 1968
462 688 29588
762 418 7098
319 4 9988
29 98 28473
267 63 32092
359 292 5130
542 790 2280
251 296 10022
604 423 19604
11 193 7689
4 190 9969
120 664 21419
753 611 21528
278 44 10284
130 803 25311
789 613 4751
875 475 12063
226 43 26126
664 329 5629
712 596 21739
213 538 31340
321 365 30931
749 21 8045
349 327 27940
442 645 10933
56 213 25023
566 495 7607
774 825 3366
280 208 3155
834 808 6934
692 436 8080
817 873 12514
523 668 22571
480 887 29493
570 946 22503
641 24 12553
339 323 2524
149 670 1521
658 816 8501
898 273 31241
379 672 25385
351 35 28719
736 594 23557
539 908 9032
916 824 18600
405 42 6595
270 734 29889
686 843 25247
918 40 25515
395 917 12686
527 148 7359
565 627 6169
285 294 13678
437 909 14290
284 155 651
841 472 28140
360 179 1922
695 313 13016
389 808 5494
595 899 18615
378 202 25977
902 676 27076
486 98 8286
193 776 1022
533 225 3026
390 250 16823
688 445 18367
311 359 14050
772 380 30758
798 136 6438
246 573 14073
460 294 32036
126 796 1684
499 625 15737
290 497 2275
296 185 92
294 471 18537
932 632 22247
432 343 14225
496 614 15733
273 307 19
629 566 26257
289 484 8033
15 650 17004
724 383 28231
876 903 13020
233 578 24907
112 762 24648
509 871 23665
351 10 15891
738 218 12393
853 560 3420
484 833 4188
394 361 9020
251 137 22213
606 898 29628
606 294 5409
118 535 30009
453 806 32098
742 865 26620
286 814 1364
419 140 31778
882 584 908
876 176 17455
755 99 17005
405 926 27874
227 847 29027
653 527 25375
83 850 17780
561 557 30480
161 191 20901
653 669 14281
598 429 29936
780 905 17679
19 888 32443
23 762 15643
794 310 11280
117 877 19048
143 337 12038
259 538 14833
590 530 24346
431 328 31847
337 805 19563
78 759 5452
351 522 2324
175 802 20723
814 111 25372
846 661 14036
532 325 20145
688 887 8114
418 151 13224
636 78 12175
398 625 638
329 99 16733
840 878 13382
799 312 9955
195 768 30284
96 243 2400
601 494 3421
249 99 18377
677 163 17888
246 121 30133
427 165 23894
766 810 10835
947 346 1753
400 206 12545
935 510 20389
256 403 30048
97 272 2528
602 274 17135
794 258 21268
92 290 13469
934 405 6422
152 928 2764
944 273 31571
813 465 7870
67 469 24506
152 160 24676
446 418 22973
394 433 18430
149 747 26393
934 600 30491
186 367 22891
812 46 31956
499 832 21691
494 723 32201
45 714 26287
531 33 8799
181 246 29081
776 332 13799
322 785 17994
558 345 12263
919 167 32265
568 406 16702
360 943 462
436 624 13286
183 819 18671
584 843 3219
558 221 13700
938 277 18207
774 780 19050
595 39 31355
28 63 16423
86 212 30565
104 128 5405
395 538 283
760 317 27344
165 440 8628
232 21 9522
442 746 25582
104 373 8737
529 871 31376
195 517 20139
87 886 8631
694 602 11440
107 888 24734
630 114 22256
87 62 21187
93 281 2742
807 576 21888
234 659 1429
488 620 29539
135 393 27384
462 536 14581
832 485 14444
347 892 22185
142 856 24820
645 684 8752
178 603 18123
627 592 15714
931 208 18511
935 98 29559
841 216 16413
82 567 19795
451 936 382
408 183 1023
849 107 20910
202 699 25782
184 623 29619
119 149 31751
305 410 24499
159 184 1526
339 510 10
233 749 16179
83 319 7576
287 621 22442
685 501 20980
751 496 298
468 259 12685
136 345 29904
180 231 14563
418 486 24690
667 646 12114
171 780 2378
741 263 30518
304 380 9098
454 587 30274
555 883 30365
883 105 12902
28 915 29768
282 105 16030
756 467 31976
488 163 28785
272 934 13685
212 728 25114
257 809 9250
186 759 20102
748 5 20134
620 104 11181
693 175 24983
95 754 23794
786 863 2653
74 32 14996
421 751 13732
353 474 19531
230 167 25183
597 726 17575
13 721 15793
449 90 22490
274 676 22103
321 87 17376
29 97 30319
327 95 6477
345 556 10412
597 542 23336
476 317 10835
645 670 12700
372 488 7582
421 789 32356
909 426 18514
825 502 29499
201 18 6311
654 316 10687
354 570 7902
231 815 31105
323 324 13328
357 335 13369
392 437 14112
337 922 22872
89 29 11986
571 772 2416
500 940 19574
542 341 22310
216 423 19630
839 616 22189
10 742 7215
71 806 19962
423 501 1167
807 878 30513
509 435 2436
352 493 13306
561 273 6430
899 69 11201
101 739 20954
569 666 26636
795 502 30631
184 383 26991
671 639 19766
107 25 13507
84 670 31019
430 253 19370
396 429 30464
823 762 13451
679 912 25029
414 34 30088
823 245 15100
838 655 792
260 127 14913
95 440 28242
169 545 17029
66 481 26635
428 467 24570
440 389 17744
87 426 15883
294 740 26342
140 230 26355
502 273 2262
772 260 26318
330 667 24625
315 725 10809
77 368 23694
870 162 13532
60 784 12269
921 180 9847
650 88 15111
520 198 1352
143 772 30009
62 848 31450
261 656 11902
706 128 11435
580 171 28482
256 308 11303
371 204 3308
119 568 12768
746 672 7023
12 707 1561
300 788 847
469 935 11514
199 282 205
95 646 14080
335 537 31804
439 58 1673
198 318 21687
526 638 406
258 525 11685
224 429 4878
833 881 25802
86 687 8484
755 124 23014
35 456 18107
215 663 29192
724 54 15317
140 193 4118
506 674 32111
230 816 26954
359 866 32602
485 573 30603
541 290 4848
708 699 9451
401 84 17342
433 411 29358
95 16 18282
539 152 9137
461 646 20618
140 528 9473
828 435 11304
415 140 24830
333 535 8220
394 13 10349
938 108 5265
426 895 14904
294 622 15684
860 862 32208
183 462 18276
3 683 3445
67 861 5920
911 171 1222
867 98 27703
661 665 32106
615 461 26424
76 898 1719
268 688 28973
477 5 1685
360 217 1500
559 293 8480
653 678 25846
68 102 20905
425 674 18621
947 47 6950
579 657 268
661 662 28474
638 738 18378
595 485 29271
745 401 24619
783 163 26793
346 45 9293
590 710 10946
655 670 7441
940 909 21073
156 68 11845
309 149 11834
405 158 21879
647 692 19185
831 844 1029
507 116 18150
498 314 19791
413 624 5212
240 564 2061
358 105 269
387 482 11838
32 409 12639
85 635 18728
929 652 31
185 35 8028
881 309 13554
5 343 14534
620 300 4870
213 14 12586
531 452 11939
86 183 19355
305 233 5037
328 476 22995
61 621 24638
338 460 24695
936 649 24017
143 444 32167
841 64 10433
205 37 2408
300 790 26887
787 687 16340
548 486 20606
818 171 4877
329 869 21006
203 270 5990
810 741 8849
53 353 26173
13 204 24406
428 545 25728
807 638 32644
506 929 8152
255 805 19664
877 552 475
19 828 21824
719 737 31467
860 646 27383
801 518 3712
768 848 10295
38 946 26890
657 309 23838
861 429 27585
169 675 6607
473 114 29930
442 183 763
265 535 11133
252 99 6160
571 368 19261
413 185 22900
65 768 28136
305 326 2867
224 543 7328
784 557 7179
378 581 23184
288 752 8564
52 621 1590
787 683 16746
14 894 1100
56 252 27445
606 691 14899
736 760 28970
858 182 4874
589 678 7511
921 734 6714
923 693 16300
234 613 29021
215 730 29826
440 792 8398
38 639 22671
847 523 18757
643 482 7075
694 85 25154
107 813 30156
448 583 17472
182 197 31400
206 141 3808
828 4 13588
403 220 23184
251 203 27002
116 226 25175
159 900 26473
135 481 15821
229 285 827
169 238 11370
509 845 14074
306 479 10926
156 771 5569
116 478 24278
871 198 16196
854 623 11796
714 381 26961
377 775 19588
930 88 29541
115 127 10583
659 22 23712
883 513 1519
715 330 28355
787 854 8660
864 761 4358
706 107 32470
813 933 3037
596 266 10166
731 654 8964
392 28 26918
888 354 23920
122 510 24580
115 31 11000
343 369 28961
50 921 26061
693 679 32235
276 409 542
735 242 18131
382 383 10361
405 398 14157
726 396 1994
335 425 8374
136 100 29190
185 742 137
622 79 25316
625 7 9123
264 471 29232
480 330 7051
651 225 31651
283 652 23547
173 693 1083
681 422 17943
12 554 10637
264 378 13334
125 118 16779
249 776 4946
551 120 20910
368 92 5100
764 735 14980
761 474 15505
570 77 28951
526 39 5633
322 804 29092
80 68 30053
506 651 20377
931 358 32149
258 407 29917
226 282 3813
635 49 22210
849 852 23052
180 224 12600
621 651 30270
252 506 18712
576 547 923
388 265 23718
400 548 23160
72 449 21908
4 478 23860
465 183 4649
181 260 1419
297 911 17249
713 427 1970
108 249 31779
672 805 13473
21 377 12758
841 640 29256
694 698 10493
271 122 31661
308 792 10416
302 724 29734
513 405 26108
923 81 44
120 334 29843
676 931 23405
513 349 15455
381 158 5945
289 678 3011
640 655 7509
812 897 27836
761 513 4822
397 733 30494
842 862 5020
467 658 1179
920 598 19065
137 564 31581
141 352 29489
460 884 27219
867 666 10965
232 59 32395
519 353 26657
19 625 31525
117 79 22762
866 633 26053
693 338 705
276 84 6038
383 718 13391
859 444 26419
653 877 25116
629 766 14865
610 895 17597
814 686 3142
20 395 18334
474 176 29628
576 369 24287
225 179 24626
487 513 2
802 921 27546
337 527 3161
312 159 1710
553 801 19832
111 908 15329
943 663 790
646 98 14058
199 248 16154
723 556 18845
685 525 14294
600 240 22225
885 99 8593
89 598 29317
469 241 22518
679 314 12928
509 771 29954
386 393 11548
75 184 13953
9 913 3078
148 929 5183
203 253 30476
594 247 30839
929 381 32604
67 700 31018
868 307 11710
275 721 3164
314 95 30374
314 465 19052
473 325 11581
73 234 14596
907 449 10923
221 415 7766
604 436 20812
590 714 20381
325 186 27538
8 266 7959
508 896 13509
85 474 19708
136 148 11743
545 524 31775
690 69 19252
62 707 30252
376 59 6060
77 922 21714
518 566 12467
268 199 15412
930 160 2603
76 63 2160
456 508 19463
417 203 29480
135 337 25435
292 411 5956
532 107 7932
850 310 10354
843 394 29705
73 126 267
720 21 24829
739 810 9313
117 164 26122
233 713 19622
132 52 16374
54 733 25329
222 97 3766
190 25 9475
739 366 25454
84 620 4060
99 821 27048
198 351 14152
556 239 3551
247 908 20962
198 806 14259
340 211 15938
757 446 30808
149 444 29013
123 462 32295
59 109 26380
314 870 17494
865 23 9703
810 827 25156
317 377 31490
704 53 8158
375 880 6070
88 56 7422
780 145 31464
371 182 30686
809 771 24472
388 694 755
197 906 5974
137 570 21701
266 267 4771
609 812 23721
107 851 12902
379 688 15712
694 162 9471
148 729 2827
387 271 22177
400 812 15351
609 701 12272
768 516 13350
191 591 20261
871 72 25000
188 917 26398
777 295 29727
179 317 19739
66 621 25602
163 919 18727
532 474 20088
100 178 18008
681 119 12517
682 414 22374
275 136 23427
871 667 31057
551 340 5272
511 103 24837
637 752 28198
92 105 16964
518 509 20011
787 238 11584
423 741 11728
775 278 11683
99 675 11791
344 453 4347
697 738 24763
40 343 29636
417 219 6899
941 112 15239
697 553 25187
285 413 18886
558 135 6368
177 249 18095
648 481 581
147 639 13254
534 259 11927
275 97 22025
618 824 18140
707 556 17474
862 813 17706
831 456 20859
43 735 20696
188 180 29901
911 582 24025
519 256 1803
534 86 23200
101 680 1012
66 752 14894
633 664 16363
870 750 4107
641 767 1135
235 216 21083
641 623 5315
228 755 14937
496 809 2443
142 535 13778
760 253 3393
259 62 31864
468 472 7382
7 837 12838
414 354 22238
682 620 7028
738 869 26892
940 440 23585
207 821 7922
175 507 3902
567 467 17985
886 525 22309
415 396 23547
862 440 22432
355 479 4944
545 440 30407
245 767 4649
356 469 20864
453 611 2179
659 793 5801
138 211 24364
843 594 2132
27 947 28547
900 623 17559
750 412 22849
288 931 16357
444 457 27777
474 572 6373
132 311 3450
905 208 12871
178 177 17573
76 874 22791
362 42 10573
342 146 15895
844 568 19894
400 819 16497
157 740 7007
555 284 247
758 766 29450
400 379 2993
236 162 14225
942 486 6727
773 168 31664
592 649 8650
420 618 10827
120 37 4645
825 240 32220
190 582 30674
281 708 18184
728 141 8358
613 581 11154
502 94 2766
162 641 32290
579 639 20821
442 892 25750
812 769 3020
117 399 1503
128 198 16108
504 660 14739
81 812 6722
643 798 699
475 469 25425
511 246 19593
162 290 10406
655 944 15094
886 933 14290
764 278 14971
369 766 26446
557 819 8544
136 421 8612
361 17 31321
141 840 20873
377 737 17252
37 34 26266
233 530 23851
770 86 14589
396 21 26195
350 892 9761
462 776 7038
764 13 27458
747 251 24562
832 314 4740
338 456 7187
251 722 19903
552 284 30277
191 340 26204
442 915 24518
856 61 3013
836 338 21148
134 773 21080
842 519 16060
355 44 13033
810 53 21470
856 265 24366
908 80 25295
169 184 22950
309 648 19478
913 196 32737
733 879 11070
566 385 11314
589 401 30011
124 583 20532
367 459 26000
118 391 31648
364 69 10563
439 382 15213
648 945 1992
240 426 11062
926 407 10601
32 506 1870
882 23 22479
462 674 6160
694 493 189
935 135 32592
584 917 11293
830 609 22261
808 411 19949
443 15 15394
120 879 12714
836 369 25721
844 296 82
846 811 17249
104 816 25364
297 258 9043
514 297 21565
690 30 31640
648 661 7440
513 585 17664
275 616 6787
232 920 12410
834 561 31766
488 194 30872
269 332 5958
778 524 9053
522 548 28487
366 406 31727
510 205 1029
429 398 25594
647 746 11425
79 661 27375
46 618 230
809 734 28003
163 498 29286
780 306 26932
313 420 322
9 939 17220
751 119 16841
685 778 488
145 289 32625
327 929 2909
757 299 32474
444 104 23008
174 515 983
173 656 24383
689 756 8627
595 476 4088
487 221 19247
634 394 21062
576 726 25827
170 540 26539
370 402 6166
576 325 26582
541 664 7451
178 384 6646
858 576 31706
772 565 30169
616 473 9750
424 130 26733
750 716 8835
15 568 12151
144 904 4301
401 594 20125
809 907 28194
461 223 21528
28 381 32475
454 583 28069
943 336 27993
654 748 16023
387 129 22318
326 22 3599
726 589 31018
476 761 20679
92 231 16367
585 673 21492
566 463 1540
41 363 30506
782 422 2482
598 527 335
808 113 29707
523 291 16623
456 943 30689
280 185 25248
227 673 27302
297 841 18477
614 571 4709
804 633 16836
680 421 2894
234 637 14514
649 335 16579
851 256 5386
588 47 9848
152 548 20412
51 588 16074
650 495 2591
271 659 31178
274 273 11157
165 230 15901
107 838 24003
899 294 4552
719 107 15101
674 81 4980
795 331 3482
165 907 26270
221 794 6712
60 669 21939
25 559 2060
343 899 17171
101 45 25049
28 760 7777
293 930 12074
908 100 1453
173 441 6352
673 13 4708
375 195 15586
374 198 8197
71 343 5553
167 352 12033
295 456 29798
749 177 28774
575 657 23367
184 766 5908
407 781 19673
867 639 20908
782 38 15448
352 180 23691
171 528 315
248 468 32091
680 608 21178
556 838 552
89 79 12694
101 108 7166
593 319 5525
472 903 12663
105 171 361
786 5 8130
405 337 6906
902 730 24844
428 332 24404
724 338 17747
317 347 20644
472 897 26370
660 143 25093
11 459 22261
121 256 14349
73 905 13231
409 788 26210
521 368 3557
463 789 29108
222 739 12460
855 536 23287
55 366 11761
465 366 9133
310 498 4
193 594 25761
317 267 14165
25 74 1897
876 516 6074
66 776 18555
182 754 19160
296 171 10950
776 411 30081
187 75 18184
648 507 7207
209 230 12377
257 753 26294
892 705 21666
514 748 3697
524 613 6906
494 943 8353
133 636 23330
262 57 22339
809 158 28817
318 712 9453
100 232 28880
783 19 17316
786 802 16415
463 382 11876
109 236 12429
783 731 31604
12 587 22287
865 497 8686
637 466 7998
129 124 24321
297 374 12733
198 71 16331
803 322 19067
516 767 23274
284 217 29511
440 367 4367
731 579 3191
248 184 20024
437 68 28818
76 578 19807
774 414 8498
689 382 24250
647 535 6816
511 228 13546
648 872 30941
326 156 22433
549 897 21520
394 758 6825
377 935 29581
57 120 28251
148 315 32246
529 304 6874
930 265 29220
600 546 2483
749 617 18396
352 408 14777
775 464 26747
618 386 26409
225 468 3864
464 321 26240
856 530 23763
567 617 14991
47 902 22863
753 503 7842
328 716 125
756 620 9188
842 105 13897
446 214 11587
721 815 19912
514 595 6004
353 250 5367
388 41 17146
852 441 22315
810 378 5168
53 112 22465
321 872 25033
904 591 13235
706 699 17482
837 641 13332
669 489 22876
272 48 13486
244 71 25620
601 589 10539
108 727 20353
215 282 20632
510 546 2842
485 688 6685
927 204 4327
444 496 28485
613 769 13181
816 298 22311
160 719 9755
890 282 847
666 693 7058
454 443 8763
264 641 26815
419 194 7362
124 61 23994
707 216 31432
904 544 5388
346 691 24837
932 191 23172
611 84 15563
455 821 5002
902 184 5131
639 440 20736
848 380 24341
229 643 30477
207 758 7867
517 260 16741
237 793 23774
283 357 27378
216 339 16028
751 81 30182
941 262 5770
262 10 3482
379 167 19140
317 568 19920
98 655 13754
760 425 29479
333 427 14850
187 518 9960
843 585 24726
835 691 19573
354 819 22089
551 679 259
370 124 18521
452 3 28252
791 892 18783
337 896 14309
686 912 24348
437 337 13603
540 578 28359
15 162 28510
660 620 16615
377 681 71
33 179 5867
347 181 3491
430 748 7156
138 153 17004
378 19 10125
397 278 24554
251 766 9286
690 500 24995
375 316 17775
728 180 17736
39 207 24170
434 353 25566
295 593 29504
846 929 31694
456 140 19851
907 494 9135
477 474 20938
81 38 27617
789 210 20667
282 947 2376
627 618 27993
427 477 3545
354 487 15232
420 476 943
922 902 17518
634 57 17885
933 168 30109
818 656 15937
19 876 29604
331 330 20989
515 55 11810
468 142 20073
537 139 13026
283 30 9872
850 896 28086
838 400 21920
269 87 4034
685 830 21712
500 336 5155
913 14 21415
117 499 4416
450 455 22451
848 620 3362
752 931 9475
33 740 12453
913 768 25355
915 831 18535
756 695 27065
116 222 21430
439 161 4320
291 402 16624
393 879 20555
107 76 13336
769 523 2317
784 542 8073
58 830 242
636 531 24582
46 27 32537
755 18 17571
346 305 9500
10 501 16438
171 668 8791
770 919 17750
695 7 18216
306 848 20232
398 849 23616
468 385 10163
400 304 1632
667 240 27888
473 52 30991
414 589 27214
761 938 23350
92 212 32293
738 289 5790
353 444 8971
531 358 26562
90 206 15754
744 510 30080
843 236 16680
285 466 4220
719 898 28892
637 636 2142
224 199 16011
151 72 22837
844 193 27165
609 65 23958
149 38 19532
609 882 16987
660 774 576
237 496 16145
130 106 18053
102 172 8813
662 292 30997
363 535 9317
318 46 31577
111 243 14268
599 371 26230
55 896 21291
212 943 4418
51 685 28259
339 543 10418
438 583 18849
760 313 6303
643 112 5768
345 233 31800
311 631 20354
384 406 5245
529 95 1748
73 127 10376
256 725 18724
175 194 1700
268 670 26415
306 440 28247
27 888 10451
424 607 19172
373 391 8128
396 291 8960
384 23 6765
165 788 19873
508 743 10276
916 664 9523
585 73 17727
458 533 27037
149 204 13037
468 174 5847
106 391 16414
899 688 30980
823 906 29021
172 122 2114
874 193 5064
915 394 26044
573 285 27491
750 143 157
19 861 26491
416 941 17646
612 153 10198
495 507 3985
714 779 13270
782 364 18895
682 472 8432
772 345 21558
583 430 6128
939 639 7092
176 567 16652
456 889 9532
602 396 11447
73 623 23381
673 866 25507
543 292 18010
604 516 29322
470 45 25440
867 807 5764
914 122 22263
821 72 13592
592 346 4161
295 360 5971
62 92 26134
5 78 378
851 404 6959
429 645 18755
13 307 22407
856 894 2703
860 424 21625
28 126 7959
581 114 1611
47 223 6040
724 847 18706
569 567 13654
503 732 20551
820 841 22803
166 437 8027
296 311 6349
9 165 30508
472 681 16348
624 723 14128
80 842 30026
806 245 677
353 770 12928
918 461 22837
221 343 10390
653 709 4034
159 668 15588
708 723 352
937 58 30131
686 704 14756
478 535 5655
240 174 4298
666 596 21590
315 34 1898
930 543 6259
222 513 29362
905 103 6311
312 885 2906
451 94 2041
328 722 209
777 288 28471
459 419 8019
299 809 17134
10 478 13029
632 3 26945
665 541 27250
434 227 14513
471 637 25975
692 711 5413
198 53 7170
264 32 17119
890 157 17391
460 580 24353
201 227 1961
858 652 15529
823 412 8667
199 894 13905
151 580 3792
661 707 29812
340 609 20347
946 232 12777
603 684 851
9 44 21425
918 543 13711
939 690 12976
454 5 28521
607 788 22783
390 622 17508
665 401 15551
77 37 28373
655 56 16510
838 287 540
944 671 1403
121 861 1357
253 170 30325
385 447 17469
569 438 29136
479 632 7722
101 853 12327
138 483 24700
475 316 175
22 697 8529
378 594 18161
939 518 24779
689 664 24009
